date,open,high,close,low,volume,p_change
2021-03-11,5.18,5.28,5.24,5.12,39415.0,0.38
2021-03-12,5.25,5.34,5.3,5.25,44027.0,1.15
2021-03-15,5.27,5.33,5.29,5.19,39161.0,-0.19
2021-03-16,5.29,5.36,5.36,5.26,43076.0,1.32
2021-03-17,5.32,5.4,5.35,5.3,41724.0,-0.19
2021-03-18,5.4,5.4,5.27,5.26,49397.5,-1.5
2021-03-19,5.22,5.3,5.25,5.22,35828.5,-0.38
2021-03-22,5.32,5.35,5.28,5.26,26589.0,0.57
2021-03-23,5.28,5.28,5.21,5.18,40106.26,-1.33
2021-03-24,5.18,5.2,5.08,5.04,49870.68,-2.5
2021-03-25,5.08,5.12,5.09,5.05,26442.0,0.2
2021-03-26,5.09,5.24,5.2,5.05,44815.8,2.16
2021-03-29,5.19,5.23,5.17,5.12,54412.68,-0.58
2021-03-30,5.15,5.15,5.09,5.07,37126.95,-1.55
2021-03-31,5.1,5.24,5.11,5.08,44572.0,0.39
2021-04-01,5.13,5.16,5.06,5.05,34667.5,-0.98
2021-04-02,5.05,5.09,5.01,4.98,48232.5,-0.99
2021-04-06,5.0,5.08,5.07,4.99,34728.01,1.2
2021-04-07,5.07,5.13,5.1,5.04,38106.62,0.59
2021-04-08,5.1,5.12,5.03,5.03,36589.11,-1.37
2021-04-09,5.02,5.12,5.11,5.0,30877.04,1.59
