date,open,high,close,low,volume,p_change
2021-03-11,5.07,5.3,5.25,5.06,217152.05,2.34
2021-03-12,5.23,5.24,5.17,5.11,172633.23,-1.52
2021-03-15,5.09,5.27,5.24,5.04,156862.47,1.35
2021-03-16,5.23,5.56,5.55,5.21,401283.38,5.92
2021-03-17,5.45,5.71,5.48,5.42,344680.31,-1.26
2021-03-18,5.45,5.59,5.55,5.43,272498.38,1.28
2021-03-19,5.58,5.87,5.59,5.52,388364.94,0.72
2021-03-22,5.5,5.79,5.77,5.37,421505.09,3.22
2021-03-23,5.75,5.75,5.69,5.52,320157.62,-1.39
2021-03-24,5.58,5.66,5.61,5.43,299641.94,-1.41
2021-03-25,5.52,6.07,5.55,5.51,401834.94,-1.07
2021-03-26,5.41,5.95,5.88,5.31,678442.0,5.95
2021-03-29,5.85,5.95,5.82,5.74,402842.59,-1.02
2021-03-30,5.78,5.84,5.65,5.58,339981.22,-2.92
2021-03-31,5.64,5.77,5.43,5.4,348137.88,-3.89
2021-04-01,5.43,5.97,5.97,5.37,884110.25,9.95
2021-04-02,5.93,6.05,5.81,5.78,794086.44,-2.68
2021-04-06,5.86,6.33,6.16,5.69,840424.0,6.02
2021-04-07,6.15,6.47,6.28,6.07,685012.69,1.95
2021-04-08,6.2,6.65,6.22,6.13,715339.75,-0.95
2021-04-09,6.21,6.39,6.1,6.03,514542.94,-1.93
