date,open,high,close,low,volume,p_change
2021-03-11,6.62,6.85,6.83,6.62,1069427.25,3.33
2021-03-12,6.79,6.92,6.81,6.76,768460.75,-0.29
2021-03-15,6.78,7.01,6.86,6.73,919888.75,0.73
2021-03-16,6.88,6.97,6.91,6.74,690114.94,0.73
2021-03-17,6.86,7.05,6.92,6.82,737731.19,0.14
2021-03-18,6.89,7.05,7.05,6.84,899714.56,1.88
2021-03-19,6.98,7.26,7.0,6.94,1072058.38,-0.71
2021-03-22,7.02,7.7,7.7,7.0,2747134.0,10.0
2021-03-23,7.76,7.85,7.7,7.59,2340692.75,0.0
2021-03-24,7.62,7.73,6.98,6.93,2899149.5,-9.35
2021-03-25,6.8,7.02,6.81,6.71,1328810.75,-2.44
2021-03-26,6.85,7.49,7.49,6.85,2183738.25,9.98
2021-03-29,7.69,7.76,7.65,7.39,2667523.25,2.14
2021-03-30,7.66,7.96,7.7,7.62,1694326.25,0.65
2021-03-31,7.73,7.79,7.59,7.46,1296698.0,-1.43
2021-04-01,7.61,7.91,7.63,7.56,1235918.12,0.53
2021-04-02,7.61,7.61,7.45,7.38,1179506.5,-2.36
2021-04-06,7.47,7.56,7.48,7.3,862650.56,0.4
