date,open,high,close,low,volume,p_change
2021-03-11,15.19,15.32,15.28,14.78,20541.0,1.46
2021-03-12,15.34,15.39,14.8,14.74,22700.0,-3.14
2021-03-15,14.84,14.96,14.74,14.6,12066.31,-0.41
2021-03-16,14.76,15.05,15.0,14.71,12477.47,1.76
2021-03-17,14.96,15.74,15.34,14.95,26497.0,2.27
2021-03-18,15.29,15.34,15.1,15.02,21437.0,-1.56
2021-03-19,15.02,15.66,15.28,14.92,30055.89,1.19
2021-03-22,15.23,15.58,15.46,15.23,17526.0,1.18
2021-03-23,15.42,15.53,15.2,15.04,16608.77,-1.68
2021-03-24,15.2,15.46,15.33,15.05,18899.85,0.85
2021-03-25,15.32,15.5,15.19,15.17,16482.92,-0.91
2021-03-26,15.2,15.46,15.33,15.01,18498.02,0.92
2021-03-29,15.4,15.46,14.91,14.88,20088.82,-2.74
2021-03-30,14.92,14.99,14.65,14.6,19368.8,-1.74
2021-03-31,14.5,14.76,14.68,14.45,10551.37,0.2
2021-04-01,14.63,14.74,14.67,14.54,11474.0,-0.07
2021-04-02,14.68,15.35,14.97,14.65,20205.87,2.04
2021-04-06,15.2,15.3,15.13,15.0,15991.0,1.07
2021-04-07,15.37,15.58,15.43,15.15,24540.37,1.98
2021-04-08,15.43,15.48,15.1,15.05,19622.29,-2.14
2021-04-09,15.02,16.0,15.97,14.82,56557.19,5.76
