date,open,high,close,low,volume,p_change
2021-03-11,5.45,5.45,5.36,5.19,77061.41,0.75
2021-03-12,5.35,5.53,5.28,5.28,77852.44,-1.49
2021-03-15,5.29,5.32,5.26,5.21,52068.93,-0.38
2021-03-16,5.27,5.43,5.41,5.25,56916.0,2.85
2021-03-17,5.4,5.55,5.48,5.37,65171.0,1.29
2021-03-18,5.48,5.68,5.46,5.42,113998.0,-0.36
2021-03-19,5.41,5.55,5.45,5.35,68636.0,-0.18
2021-03-22,5.44,5.57,5.55,5.43,69694.44,1.83
2021-03-23,5.54,5.6,5.42,5.39,54975.0,-2.34
2021-03-24,5.42,5.45,5.33,5.32,40207.0,-1.66
2021-03-25,5.3,5.37,5.32,5.25,40361.0,-0.19
2021-03-26,5.35,5.44,5.4,5.31,38900.71,1.5
2021-03-29,5.42,5.5,5.4,5.39,46376.02,0.0
2021-03-30,5.39,5.4,5.27,5.24,55884.15,-2.41
2021-03-31,5.23,5.29,5.26,5.2,35215.0,-0.19
2021-04-01,5.27,5.29,5.18,5.17,72131.03,-1.52
2021-04-02,5.2,5.24,5.19,5.15,45109.0,0.19
2021-04-06,5.23,5.3,5.27,5.19,43718.0,1.54
2021-04-07,5.27,5.32,5.3,5.24,62198.2,0.57
2021-04-08,5.31,5.32,5.24,5.22,47717.08,-1.13
2021-04-09,5.22,5.38,5.32,5.21,69281.0,1.53
