date,open,high,close,low,volume,p_change
2021-03-11,23.21,24.14,24.14,23.17,4699.54,3.43
2021-03-12,24.2,24.29,23.74,23.73,2860.0,-1.66
2021-03-15,23.87,24.38,23.78,23.65,3827.0,0.17
2021-03-16,23.78,24.49,24.46,23.73,4916.0,2.86
2021-03-17,24.44,26.33,26.0,24.31,18691.0,6.3
2021-03-18,25.72,26.78,26.15,25.63,14517.0,0.58
2021-03-19,25.92,26.47,25.9,25.75,8247.0,-0.96
2021-03-22,25.7,26.12,25.81,25.68,4459.0,-0.35
2021-03-23,25.76,26.5,26.29,25.76,7121.0,1.86
2021-03-24,26.4,26.76,26.6,26.09,7294.0,1.18
2021-03-25,26.49,27.93,26.64,26.24,11828.0,0.15
2021-03-26,26.37,27.49,27.23,26.2,7817.12,2.21
2021-03-29,27.27,28.48,27.85,27.21,10256.0,2.28
2021-03-30,27.72,27.88,27.37,27.2,6292.0,-1.72
2021-03-31,27.21,27.22,26.79,26.5,8652.57,-2.12
2021-04-01,27.0,27.99,26.96,26.84,9184.0,0.64
2021-04-02,26.64,27.22,27.1,26.21,5275.0,0.52
2021-04-06,27.09,27.48,27.25,26.9,3318.97,0.55
2021-04-07,27.27,28.25,28.25,27.1,6303.0,3.67
2021-04-08,28.17,28.49,27.68,27.66,4688.0,-2.02
2021-04-09,27.96,27.96,27.65,27.18,4125.0,-0.11
