date,open,high,close,low,volume,p_change
2021-03-11,5.61,5.65,5.64,5.5,62161.96,1.07
2021-03-12,5.62,5.76,5.7,5.57,84392.8,1.06
2021-03-15,5.71,6.1,5.91,5.71,253238.31,3.68
2021-03-16,5.91,6.05,5.97,5.76,165928.67,1.01
2021-03-17,5.96,6.35,6.15,5.95,266056.88,3.02
2021-03-18,6.12,6.2,6.05,6.0,182940.92,-1.63
2021-03-19,6.0,6.1,6.01,5.97,137056.83,-0.66
2021-03-22,5.98,6.06,6.01,5.95,124069.3,0.0
2021-03-23,6.0,6.01,5.84,5.82,120332.44,-2.83
2021-03-24,5.84,5.87,5.77,5.76,69445.08,-1.2
2021-03-25,5.76,5.84,5.76,5.75,49766.52,-0.17
2021-03-26,5.76,5.83,5.82,5.75,56630.63,1.04
2021-03-29,5.82,5.85,5.83,5.78,65955.15,0.17
2021-03-30,5.85,5.85,5.76,5.73,62988.03,-1.2
2021-03-31,5.79,5.98,5.96,5.76,142246.31,3.47
2021-04-01,5.92,5.96,5.9,5.83,94331.5,-1.01
2021-04-02,5.88,5.88,5.85,5.83,57099.51,-0.85
2021-04-06,5.84,5.9,5.85,5.83,61884.49,0.0
2021-04-07,5.92,6.06,5.94,5.9,141671.11,1.54
2021-04-08,5.88,5.88,5.77,5.75,141038.81,-2.86
2021-04-09,5.77,5.8,5.74,5.72,64137.61,-0.52
