date,open,high,close,low,volume,p_change
2021-03-11,11.93,12.01,11.96,11.67,20080.06,-0.83
2021-03-12,11.69,12.25,11.87,11.51,25480.75,-0.75
2021-03-15,11.74,11.74,11.46,11.38,15066.32,-3.45
2021-03-16,11.46,11.72,11.61,11.35,13995.21,1.31
2021-03-17,11.64,11.67,11.46,11.11,24519.45,-1.29
2021-03-18,11.46,11.81,11.53,11.41,16483.77,0.61
2021-03-19,11.56,11.69,11.5,11.11,9643.42,-0.26
2021-03-22,11.38,12.0,11.91,11.33,24977.43,3.56
2021-03-23,11.88,12.16,11.72,11.6,19221.0,-1.59
2021-03-24,11.6,11.72,11.21,11.2,20238.62,-4.35
2021-03-25,11.2,11.27,11.11,10.98,19576.15,-0.89
2021-03-26,11.12,11.44,11.3,11.09,12705.3,1.71
2021-03-29,11.36,11.41,11.15,11.09,14892.32,-1.33
2021-03-30,11.18,11.35,11.21,11.01,15886.25,0.54
2021-03-31,11.21,11.28,11.1,10.91,13694.0,-0.98
2021-04-01,11.09,11.17,11.06,11.03,8562.45,-0.36
2021-04-02,11.08,11.1,10.98,10.72,16313.82,-0.72
2021-04-06,11.03,11.47,11.13,10.9,24861.38,1.37
2021-04-07,11.11,11.19,10.98,10.9,15653.97,-1.35
2021-04-08,11.03,11.58,11.21,10.82,33615.14,2.1
2021-04-09,11.25,11.25,11.08,11.01,11946.97,-1.16
