date,open,high,close,low,volume,p_change
2021-03-11,7.54,7.74,7.72,7.52,53313.57,2.39
2021-03-12,7.84,7.85,7.73,7.64,49551.3,0.13
2021-03-15,7.67,7.75,7.63,7.55,53141.1,-1.29
2021-03-16,7.63,7.83,7.81,7.63,56194.87,2.36
2021-03-17,7.8,7.82,7.75,7.69,59409.13,-0.77
2021-03-18,7.72,7.75,7.62,7.61,53471.76,-1.68
2021-03-19,7.58,7.68,7.64,7.54,45274.88,0.26
2021-03-22,7.66,7.77,7.74,7.62,43749.36,1.31
2021-03-23,7.74,8.1,8.08,7.66,136548.38,4.39
2021-03-24,7.99,8.16,7.98,7.95,93028.14,-1.24
2021-03-25,7.97,8.28,8.24,7.95,142050.5,3.26
2021-03-26,8.3,8.3,8.13,8.09,103022.89,-1.33
2021-03-29,8.13,8.29,7.98,7.93,101159.55,-1.84
2021-03-30,8.0,8.03,7.82,7.8,74042.05,-2.0
2021-03-31,7.82,8.58,8.34,7.82,304026.72,6.65
2021-04-01,8.35,8.43,8.36,8.21,124639.38,0.24
2021-04-02,8.39,8.42,8.21,8.18,106155.48,-1.79
2021-04-06,8.28,8.49,8.4,8.21,115493.0,2.31
2021-04-07,8.38,8.38,8.27,8.16,97226.52,-1.55
2021-04-08,8.23,8.26,8.06,8.05,95998.53,-2.54
2021-04-09,8.06,8.16,8.09,8.01,57158.44,0.37
