date,open,high,close,low,volume,p_change
2021-03-11,10.76,10.86,10.84,10.58,15668.0,1.5
2021-03-12,10.83,10.84,10.65,10.6,14961.02,-1.75
2021-03-15,10.69,10.77,10.43,10.35,14829.0,-2.07
2021-03-16,10.47,10.8,10.8,10.45,15219.0,3.55
2021-03-17,10.86,10.98,10.94,10.78,15122.0,1.3
2021-03-18,10.9,11.0,10.75,10.75,11265.0,-1.74
2021-03-19,10.74,10.9,10.77,10.6,12223.02,0.19
2021-03-22,10.88,10.98,10.96,10.74,10850.0,1.76
2021-03-23,10.95,11.0,10.84,10.78,11706.0,-1.09
2021-03-24,10.73,10.95,10.76,10.73,10455.8,-0.74
2021-03-25,10.66,11.18,11.09,10.65,24471.0,3.07
2021-03-26,11.17,11.55,11.39,11.09,43235.52,2.71
2021-03-29,11.25,11.4,11.14,11.09,26250.0,-2.19
2021-03-30,11.1,11.16,10.79,10.76,19638.0,-3.14
2021-03-31,10.79,10.97,10.81,10.75,9906.0,0.18
2021-04-01,10.85,11.09,10.89,10.61,17948.0,0.74
2021-04-02,10.75,10.89,10.8,10.67,14211.5,-0.83
2021-04-06,10.8,10.97,10.93,10.76,12029.0,1.2
2021-04-07,10.98,11.04,11.0,10.91,11357.9,0.64
2021-04-08,10.95,11.07,10.7,10.69,15622.82,-2.73
2021-04-09,10.67,10.77,10.72,10.61,10819.0,0.19
