date,open,high,close,low,volume,p_change
2021-03-11,6.92,7.31,7.17,6.9,33335.13,3.61
2021-03-12,7.21,7.21,7.14,7.06,24408.0,-0.42
2021-03-15,7.1,7.18,7.11,7.05,19490.91,-0.42
2021-03-16,7.13,7.17,7.15,7.09,18045.07,0.56
2021-03-17,7.14,7.16,7.13,7.11,11093.46,-0.28
2021-03-18,7.15,7.16,7.11,7.07,15312.0,-0.28
2021-03-19,7.08,7.12,7.1,7.06,11212.0,-0.14
2021-03-22,7.13,7.18,7.17,7.09,16183.39,0.99
2021-03-23,7.19,7.23,7.19,7.13,12103.0,0.28
2021-03-24,7.17,7.21,7.17,7.14,12587.0,-0.28
2021-03-25,7.16,7.2,7.14,7.12,11714.48,-0.42
2021-03-26,7.18,7.2,7.17,7.15,11192.46,0.42
2021-03-29,7.16,7.25,7.16,7.15,16887.95,-0.14
2021-03-30,7.16,7.2,7.14,7.11,10846.0,-0.28
2021-03-31,7.12,7.16,7.14,7.08,12748.02,0.0
2021-04-01,7.12,7.14,7.12,7.09,7201.93,-0.28
2021-04-02,7.15,7.16,7.12,7.07,7207.0,0.0
2021-04-06,7.14,7.15,7.14,7.07,7832.94,0.28
2021-04-07,7.11,7.18,7.17,7.1,8555.0,0.42
2021-04-08,7.17,7.19,7.1,7.09,10473.0,-0.98
2021-04-09,7.1,7.14,7.11,7.06,10457.0,0.14
