date,open,high,close,low,volume,p_change
2021-03-11,15.5,16.76,16.69,15.35,158543.97,9.01
2021-03-12,16.5,16.66,16.15,15.7,132067.42,-3.23
2021-03-15,15.92,16.0,15.52,15.02,92268.79,-3.9
2021-03-16,15.51,15.65,14.92,14.59,91846.4,-3.87
2021-03-17,14.83,15.1,14.93,14.51,59179.16,0.07
2021-03-18,14.88,15.0,14.32,14.26,77804.06,-4.09
2021-03-19,14.2,14.49,14.3,14.13,44468.2,-0.14
2021-03-22,14.41,15.07,14.86,14.29,60145.78,3.92
2021-03-23,14.86,15.6,15.2,14.83,93130.13,2.29
2021-03-24,15.36,15.49,14.9,14.42,72000.48,-1.97
2021-03-25,14.72,15.39,15.25,14.58,70652.35,2.35
2021-03-26,15.11,15.21,14.88,14.6,61600.3,-2.43
2021-03-29,15.02,15.35,14.94,14.84,59363.04,0.4
2021-03-30,14.88,15.94,15.66,14.74,111325.6,4.82
2021-03-31,15.69,15.94,15.82,15.4,66101.6,1.02
2021-04-01,15.58,16.55,16.27,15.57,115209.8,2.85
2021-04-02,16.24,16.84,16.56,16.12,102444.65,1.78
2021-04-06,16.6,17.38,17.23,16.6,111288.4,4.05
2021-04-07,17.18,17.69,17.59,17.05,87063.6,2.09
2021-04-08,17.45,17.79,17.29,17.15,81374.6,-1.71
2021-04-09,17.35,17.49,17.25,16.86,86584.85,-0.23
