date,open,high,close,low,volume,p_change
2021-03-11,2.5,2.62,2.56,2.47,1345620.0,3.64
2021-03-12,2.66,2.72,2.66,2.59,2251941.5,3.91
2021-03-15,2.67,2.86,2.71,2.65,2790762.0,1.88
2021-03-16,2.71,2.86,2.85,2.69,3032920.0,5.17
2021-03-17,2.88,2.94,2.84,2.78,2434026.5,-0.35
2021-03-18,2.81,2.85,2.79,2.75,2080782.12,-1.76
2021-03-19,2.77,2.89,2.8,2.74,2057489.25,0.36
2021-03-22,2.81,2.94,2.93,2.79,2559799.25,4.64
2021-03-23,2.91,2.91,2.79,2.76,2144631.0,-4.78
2021-03-24,2.75,2.84,2.79,2.74,1254166.5,0.0
2021-03-25,2.8,2.8,2.66,2.66,1376628.0,-4.66
2021-03-26,2.69,2.79,2.75,2.68,1387646.5,3.38
2021-03-29,2.79,2.83,2.74,2.72,1458083.88,-0.36
2021-03-30,2.71,2.72,2.61,2.57,1688417.88,-4.75
2021-03-31,2.65,2.67,2.62,2.6,685431.44,0.38
2021-04-01,2.6,2.62,2.54,2.52,1387838.88,-3.05
2021-04-02,2.54,2.54,2.53,2.5,720873.69,-0.39
2021-04-06,2.55,2.78,2.78,2.54,3627016.75,9.88
2021-04-07,2.77,2.78,2.72,2.67,2954423.0,-2.16
2021-04-08,2.72,2.74,2.68,2.65,1673718.25,-1.47
2021-04-09,2.7,2.73,2.66,2.66,1123692.75,-0.75
