date,open,high,close,low,volume,p_change
2021-03-11,6.11,6.15,6.1,6.06,16937.0,-0.65
2021-03-12,6.1,6.18,6.09,6.0,14378.0,-0.16
2021-03-15,6.1,6.25,6.11,6.0,12960.0,0.33
2021-03-16,6.11,6.2,6.16,6.11,11317.0,0.82
2021-03-17,6.1,6.21,6.19,6.1,12577.0,0.49
2021-03-18,6.19,6.34,6.29,6.1,24480.0,1.62
2021-03-19,6.24,6.48,6.33,6.2,27259.0,0.64
2021-03-22,6.34,6.45,6.37,6.29,16887.0,0.63
2021-03-23,6.3,6.42,6.32,6.3,12631.0,-0.79
2021-03-24,6.21,6.34,6.22,6.17,16437.0,-1.58
2021-03-25,6.16,6.22,6.11,6.11,11076.0,-1.77
2021-03-26,6.11,6.21,6.18,6.11,10523.0,1.15
2021-03-29,6.18,6.22,6.08,6.06,19629.0,-1.62
2021-03-30,6.08,6.1,5.97,5.75,29158.0,-1.81
2021-03-31,5.95,6.2,6.06,5.94,18703.0,1.51
2021-04-01,6.06,6.07,5.97,5.95,11125.0,-1.49
2021-04-02,5.97,6.05,6.04,5.94,10245.95,1.17
2021-04-06,6.03,6.27,6.17,6.03,14528.0,2.15
2021-04-07,6.09,6.28,6.21,6.08,17594.32,0.65
2021-04-08,6.22,6.24,6.14,6.11,13520.63,-1.13
2021-04-09,6.09,6.24,6.21,6.09,13575.95,1.14
