date,open,high,close,low,volume,p_change
2021-03-11,76.76,77.09,76.04,75.08,19873.29,-0.65
2021-03-12,75.81,78.6,78.17,75.32,23287.26,2.8
2021-03-15,77.2,77.94,74.99,73.61,26077.08,-4.07
2021-03-16,74.81,75.68,75.16,73.61,11824.61,0.23
2021-03-17,75.49,76.75,76.63,74.75,11935.68,1.96
2021-03-18,76.21,78.71,77.5,76.02,11560.54,1.14
2021-03-19,77.21,77.38,75.0,74.61,11235.46,-3.23
2021-03-22,74.61,79.4,78.67,74.61,27358.27,4.89
2021-03-23,78.9,79.72,76.68,76.0,17397.59,-2.53
2021-03-24,76.36,80.68,79.95,76.31,24939.28,4.26
2021-03-25,79.66,80.45,79.9,78.91,13644.24,-0.06
2021-03-26,79.71,81.29,79.23,79.21,9988.89,-0.84
2021-03-29,79.6,81.29,80.88,78.8,15617.1,2.08
2021-03-30,81.01,83.97,83.63,80.68,18209.99,3.4
2021-03-31,84.39,84.59,82.2,81.02,17899.25,-1.71
2021-04-01,82.36,83.38,82.0,81.72,13717.79,-0.24
2021-04-02,82.22,82.22,81.18,79.44,14551.27,-1.0
2021-04-06,81.18,81.18,79.0,78.18,17885.76,-2.69
2021-04-07,79.08,79.27,78.71,78.0,11069.48,-0.37
2021-04-08,78.4,79.95,78.96,77.77,14299.43,0.32
2021-04-09,79.69,79.69,76.51,76.32,16035.54,-3.1
