date,open,high,close,low,volume,p_change
2021-03-11,3.41,3.51,3.47,3.35,393819.41,0.87
2021-03-12,3.45,3.49,3.41,3.36,285982.19,-1.73
2021-03-15,3.4,3.46,3.43,3.31,264203.38,0.59
2021-03-16,3.39,3.63,3.52,3.39,384873.31,2.62
2021-03-17,3.49,3.61,3.52,3.45,325240.28,0.0
2021-03-18,3.48,3.58,3.47,3.43,271429.34,-1.42
2021-03-19,3.43,3.54,3.49,3.41,221217.0,0.58
2021-03-22,3.48,3.54,3.49,3.45,203910.3,0.0
2021-03-23,3.51,3.51,3.45,3.44,202469.91,-1.15
2021-03-24,3.45,3.48,3.34,3.33,282359.62,-3.19
2021-03-25,3.3,3.56,3.43,3.3,287124.69,2.69
2021-03-26,3.39,3.47,3.44,3.37,171174.91,0.29
2021-03-29,3.44,3.46,3.41,3.38,162416.72,-0.87
2021-03-30,3.43,3.44,3.35,3.33,177435.0,-1.76
2021-03-31,3.02,3.02,3.02,3.02,192790.0,-9.85
2021-04-01,2.86,3.2,2.98,2.86,577064.12,-1.32
2021-04-02,2.87,2.97,2.87,2.82,512567.5,-3.69
2021-04-06,2.85,2.91,2.89,2.83,254221.77,0.7
2021-04-07,2.89,3.18,3.05,2.89,436998.91,5.54
2021-04-08,3.0,3.35,3.26,3.0,575660.69,6.88
2021-04-09,3.18,3.21,3.11,3.08,354137.38,-4.6
