date,open,high,close,low,volume,p_change
2021-03-11,5.75,5.89,5.8,5.69,327901.97,0.17
2021-03-12,5.78,5.85,5.73,5.72,338228.12,-1.21
2021-03-15,5.69,5.87,5.79,5.65,331318.12,1.05
2021-03-16,5.79,6.04,5.9,5.78,423794.62,1.9
2021-03-17,5.86,6.45,6.23,5.84,784015.06,5.59
2021-03-18,6.19,6.22,6.0,5.98,650113.0,-3.69
2021-03-19,5.94,5.94,5.78,5.68,691137.5,-3.67
2021-03-22,5.76,5.81,5.79,5.67,313613.16,0.17
2021-03-23,5.76,5.96,5.82,5.69,376335.09,0.52
2021-03-24,5.75,5.8,5.73,5.69,260342.66,-1.55
2021-03-25,5.72,5.85,5.74,5.65,237453.72,0.17
2021-03-26,5.72,5.81,5.77,5.72,221689.66,0.52
2021-03-29,5.76,5.76,5.73,5.7,182993.45,-0.69
2021-03-30,5.73,5.85,5.75,5.66,288039.66,0.35
2021-03-31,5.7,5.72,5.69,5.66,182181.72,-1.04
2021-04-01,5.69,5.74,5.69,5.66,147965.34,0.0
2021-04-02,5.69,5.77,5.73,5.67,183708.92,0.7
2021-04-06,5.71,5.85,5.81,5.69,236137.8,1.4
2021-04-07,5.8,6.05,5.94,5.77,412683.59,2.24
2021-04-08,5.93,6.0,5.85,5.82,295105.44,-1.51
2021-04-09,5.84,6.18,6.14,5.83,649442.19,4.96
