date,open,high,close,low,volume,p_change
2021-03-11,2.77,2.84,2.83,2.76,59260.32,2.54
2021-03-12,2.83,2.87,2.85,2.81,61061.73,0.71
2021-03-15,2.84,2.92,2.88,2.83,53999.3,1.05
2021-03-16,2.88,2.92,2.92,2.88,48526.63,1.39
2021-03-17,2.91,2.93,2.88,2.87,50474.11,-1.37
2021-03-18,2.89,2.92,2.91,2.87,53137.72,1.04
2021-03-19,2.88,2.94,2.92,2.88,54919.7,0.34
2021-03-22,2.91,2.94,2.94,2.9,39826.79,0.69
2021-03-23,2.91,2.93,2.9,2.87,55854.8,-1.36
2021-03-24,2.88,2.9,2.88,2.86,37167.76,-0.69
2021-03-25,2.86,2.87,2.82,2.82,40325.93,-2.08
2021-03-26,2.83,2.84,2.84,2.78,42778.8,0.71
2021-03-29,2.83,2.85,2.82,2.81,33588.6,-0.7
2021-03-30,2.82,2.82,2.8,2.79,28221.9,-0.71
2021-03-31,2.81,2.88,2.87,2.77,67206.92,2.5
2021-04-01,2.86,2.87,2.81,2.8,50116.2,-2.09
2021-04-02,2.83,2.84,2.82,2.79,42407.9,0.36
2021-04-06,2.82,2.82,2.8,2.79,37310.31,-0.71
2021-04-07,2.8,2.84,2.83,2.79,45444.94,1.07
2021-04-08,2.82,2.83,2.78,2.78,45555.11,-1.77
2021-04-09,2.79,2.81,2.8,2.78,30530.1,0.72
