date,open,high,close,low,volume,p_change
2021-03-11,24.49,24.99,24.9,24.13,31356.06,1.72
2021-03-12,24.85,25.55,25.1,24.78,32259.8,0.8
2021-03-15,24.95,25.0,24.6,24.54,21614.0,-1.99
2021-03-16,24.6,24.85,23.88,23.85,30198.0,-2.93
2021-03-17,23.72,24.28,24.15,23.63,18655.3,1.13
2021-03-18,24.1,24.54,23.85,23.85,21824.87,-1.24
2021-03-19,23.74,24.84,24.71,23.51,36533.79,3.61
2021-03-22,24.51,24.9,24.68,24.32,23207.62,-0.12
2021-03-23,24.65,25.44,24.73,24.5,28535.13,0.2
2021-03-24,24.7,25.06,23.9,23.78,24391.81,-3.36
2021-03-25,23.99,24.22,23.57,23.4,18532.73,-1.38
2021-03-26,23.57,24.55,24.51,23.57,21912.36,3.99
2021-03-29,24.8,25.1,24.54,24.43,20133.25,0.12
2021-03-30,24.51,25.73,24.88,24.51,42366.81,1.39
2021-03-31,25.06,25.78,25.19,24.54,42536.47,1.25
2021-04-01,24.86,26.3,25.97,24.67,59529.89,3.1
2021-04-02,26.08,26.08,25.4,25.26,36374.24,-2.19
2021-04-06,25.39,25.65,25.21,25.16,21312.43,-0.75
2021-04-07,25.1,25.19,25.09,24.8,21408.25,-0.48
2021-04-08,25.05,25.56,25.1,24.81,27571.8,0.04
2021-04-09,25.09,25.45,24.9,24.87,15724.01,-0.8
