date,open,high,close,low,volume,p_change
2021-03-11,24.4,27.07,26.56,24.11,582341.5,7.53
2021-03-12,26.5,26.71,26.32,25.88,392856.69,-0.9
2021-03-15,24.7,25.19,23.69,23.69,682204.31,-9.99
2021-03-16,23.01,24.0,23.5,22.48,533294.38,-0.8
2021-03-17,23.5,24.04,23.6,23.21,327331.62,0.43
2021-03-18,23.5,23.92,23.64,23.11,308560.25,0.17
2021-03-19,23.18,24.17,24.13,22.85,384374.34,2.07
2021-03-22,24.0,24.14,23.89,23.22,272346.97,-0.99
2021-03-23,23.95,24.7,24.08,23.5,364239.5,0.8
2021-03-24,23.75,23.92,23.33,22.88,277112.53,-3.12
2021-03-25,23.05,23.89,23.3,23.05,190376.69,-0.13
2021-03-26,23.3,24.1,23.86,23.05,306131.72,2.4
2021-03-29,24.3,24.7,23.99,23.99,344659.94,0.55
2021-03-30,23.98,24.41,23.94,23.66,247655.09,-0.21
2021-03-31,23.86,24.4,24.23,23.33,260421.62,1.21
2021-04-01,24.6,26.65,26.65,24.57,793124.25,9.99
2021-04-02,26.92,29.32,29.32,26.8,999684.38,10.02
2021-04-06,30.6,30.65,30.2,29.11,1059928.5,3.0
2021-04-07,30.0,30.18,29.57,28.68,840374.5,-2.09
2021-04-08,29.53,30.58,29.59,28.93,690929.5,0.07
2021-04-09,29.4,30.0,28.74,28.69,575682.75,-2.87
