date,open,high,close,low,volume,p_change
2021-03-11,7.24,7.37,7.3,7.14,55226.9,-0.27
2021-03-12,7.27,7.33,7.17,7.12,50913.33,-1.78
2021-03-15,7.17,7.22,7.01,6.89,61564.2,-2.23
2021-03-16,7.01,7.06,7.02,6.92,36924.65,0.14
2021-03-17,7.01,7.01,6.96,6.9,33894.67,-0.85
2021-03-18,6.98,7.02,7.0,6.94,25840.91,0.57
2021-03-19,6.96,7.1,7.0,6.94,36260.59,0.0
2021-03-22,7.03,7.05,6.95,6.88,47193.97,-0.71
2021-03-23,6.92,6.96,6.7,6.63,108785.43,-3.6
2021-03-24,6.69,6.78,6.74,6.66,28855.6,0.6
2021-03-25,6.73,7.02,6.98,6.73,87157.22,3.56
2021-03-26,6.96,7.0,6.89,6.85,57557.02,-1.29
2021-03-29,6.87,6.88,6.82,6.7,53124.8,-1.02
2021-03-30,6.83,6.86,6.78,6.74,40348.36,-0.59
2021-03-31,6.81,7.05,7.03,6.78,79038.63,3.69
2021-04-01,6.98,7.15,7.0,6.88,71783.26,-0.43
2021-04-02,7.05,7.06,6.75,6.68,144477.7,-3.57
2021-04-06,6.74,6.75,6.7,6.68,45100.06,-0.74
2021-04-07,6.72,6.79,6.78,6.69,51818.41,1.19
2021-04-08,6.76,6.82,6.75,6.68,43603.47,-0.44
2021-04-09,6.76,6.83,6.78,6.72,37088.78,0.44
