date,open,high,close,low,volume,p_change
2021-03-11,11.7,11.79,11.6,11.3,36367.01,0.09
2021-03-12,11.52,11.74,11.35,11.33,28772.33,-2.15
2021-03-15,11.4,11.47,11.31,11.2,19580.0,-0.35
2021-03-16,11.32,11.42,11.17,11.12,17998.07,-1.24
2021-03-17,11.2,11.34,11.12,11.09,15268.0,-0.45
2021-03-18,11.14,12.25,12.22,11.12,53503.08,9.89
2021-03-19,11.85,12.03,11.75,11.6,32063.0,-3.85
2021-03-22,11.63,12.38,12.37,11.63,35039.0,5.28
2021-03-23,12.34,12.52,12.4,12.07,27134.0,0.24
2021-03-24,12.41,12.61,11.9,11.83,39023.0,-4.03
2021-03-25,11.84,12.04,11.7,11.61,26064.0,-1.68
2021-03-26,11.9,11.96,11.73,11.57,18967.0,0.26
2021-03-29,11.77,11.95,11.92,11.58,15794.0,1.62
2021-03-30,11.76,11.91,11.4,11.26,30491.22,-4.36
2021-03-31,11.35,11.5,11.22,11.22,17126.6,-1.58
2021-04-01,11.23,11.33,11.25,11.1,9015.5,0.27
2021-04-02,11.23,11.39,11.29,11.1,12163.0,0.36
2021-04-06,11.21,11.4,11.11,11.09,16102.5,-1.59
2021-04-07,11.25,11.4,11.24,11.11,13384.0,1.17
2021-04-08,11.23,11.28,10.57,10.57,39657.33,-5.96
2021-04-09,10.74,10.87,10.69,10.57,22089.0,1.14
