date,open,high,close,low,volume,p_change
2021-03-11,8.0,8.35,8.27,7.98,19447.73,2.6
2021-03-12,8.26,8.28,8.12,8.09,13376.56,-1.81
2021-03-15,8.1,8.14,8.02,7.99,14447.6,-1.23
2021-03-16,8.0,8.22,8.11,8.0,9471.37,1.12
2021-03-17,8.15,8.18,8.09,8.05,9634.4,-0.25
2021-03-18,8.1,8.22,8.11,8.05,12976.0,0.25
2021-03-19,8.12,8.16,8.07,8.0,9260.47,-0.49
2021-03-22,8.02,8.12,8.07,8.02,10127.26,0.0
2021-03-23,8.07,8.15,8.0,7.96,15223.84,-0.87
2021-03-24,7.97,8.05,7.79,7.78,15542.79,-2.62
2021-03-25,7.8,7.88,7.77,7.75,9371.37,-0.26
2021-03-26,7.79,8.23,8.09,7.78,19502.46,4.12
2021-03-29,8.03,8.19,8.04,8.02,10736.78,-0.62
2021-03-30,8.05,8.14,7.83,7.81,12499.68,-2.61
2021-03-31,7.88,7.88,7.85,7.78,7468.99,0.26
2021-04-01,7.83,7.98,7.92,7.76,7247.4,0.89
2021-04-02,7.9,7.92,7.82,7.7,9503.29,-1.26
2021-04-06,7.73,7.93,7.93,7.73,12484.04,1.41
2021-04-07,7.91,8.08,8.03,7.87,11938.91,1.26
2021-04-08,8.03,8.15,8.0,7.98,14936.91,-0.37
2021-04-09,8.15,8.15,7.91,7.88,10284.78,-1.12
