date,open,high,close,low,volume,p_change
2021-03-11,5.03,5.18,5.16,4.96,72011.0,2.18
2021-03-12,5.14,5.68,5.42,5.11,184806.23,5.04
2021-03-15,5.26,5.33,5.2,5.18,153347.3,-4.06
2021-03-16,5.21,5.35,5.3,5.19,86120.64,1.92
2021-03-17,5.3,5.36,5.32,5.25,85440.87,0.38
2021-03-18,5.29,5.31,5.25,5.23,75870.96,-1.32
2021-03-19,5.21,5.22,5.15,5.1,82263.98,-1.91
2021-03-22,5.17,5.23,5.19,5.15,56072.0,0.78
2021-03-23,5.18,5.2,5.16,5.1,59467.46,-0.58
2021-03-24,5.13,5.15,5.09,5.07,49151.96,-1.36
2021-03-25,5.06,5.09,5.05,5.04,44199.0,-0.79
2021-03-26,5.06,5.14,5.11,5.04,38658.0,1.19
2021-03-29,5.1,5.13,5.1,5.07,32293.0,-0.2
2021-03-30,5.11,5.12,5.08,5.05,33633.49,-0.39
2021-03-31,5.12,5.14,5.11,5.09,29791.97,0.59
2021-04-01,5.15,5.15,5.12,5.1,30906.19,0.2
2021-04-02,5.11,5.14,5.12,5.07,42143.96,0.0
2021-04-06,5.14,5.33,5.24,5.11,99842.36,2.34
2021-04-07,5.25,5.3,5.24,5.19,66745.59,0.0
2021-04-08,5.25,5.37,5.28,5.21,115908.17,0.76
2021-04-09,5.28,5.44,5.37,5.25,119866.17,1.71
