date,open,high,close,low,volume,p_change
2021-03-11,12.22,12.35,12.34,12.02,39559.73,1.65
2021-03-12,12.33,12.41,12.11,12.08,33447.1,-1.86
2021-03-15,12.07,12.08,12.03,11.77,34656.62,-0.66
2021-03-16,12.03,12.2,12.14,12.0,22887.99,0.91
2021-03-17,12.21,12.21,12.17,12.06,25946.65,0.25
2021-03-18,12.14,12.17,12.06,12.02,28829.93,-0.9
2021-03-19,12.0,12.18,12.05,11.98,30074.0,-0.08
2021-03-22,12.0,12.27,12.24,12.0,33557.89,1.58
2021-03-23,12.26,12.39,12.28,12.23,37228.35,0.33
2021-03-24,12.32,12.34,12.19,12.17,27541.34,-0.73
2021-03-25,12.18,12.35,12.3,12.18,25708.41,0.9
2021-03-26,12.33,12.36,12.28,12.22,24941.04,-0.16
2021-03-29,12.28,12.28,12.1,12.05,29861.9,-1.47
2021-03-30,12.15,12.15,11.93,11.9,25647.83,-1.41
2021-03-31,11.92,12.01,11.97,11.87,16887.78,0.34
2021-04-01,12.01,12.15,12.13,11.96,22776.0,1.34
2021-04-02,12.13,12.44,12.42,12.09,50864.09,2.39
2021-04-06,12.4,12.5,12.42,12.22,36043.81,0.0
2021-04-07,12.42,12.53,12.38,12.31,30456.34,-0.32
2021-04-08,12.43,12.47,12.34,12.34,28271.22,-0.32
2021-04-09,12.36,12.4,12.17,12.15,24852.33,-1.38
