date,open,high,close,low,volume,p_change
2021-03-11,18.94,19.17,19.13,18.3,113619.61,0.95
2021-03-12,19.0,19.09,18.5,18.35,131937.45,-3.29
2021-03-15,18.4,18.42,18.1,17.82,75112.79,-2.16
2021-03-16,18.1,18.56,18.55,18.08,55014.41,2.49
2021-03-17,18.83,19.72,19.53,18.33,133289.81,5.28
2021-03-18,19.52,19.6,19.24,19.14,63626.19,-1.49
2021-03-19,19.01,19.3,18.98,18.78,54160.32,-1.35
2021-03-22,18.95,19.48,19.4,18.8,66832.82,2.21
2021-03-23,19.28,19.55,19.19,19.06,47323.62,-1.08
2021-03-24,19.11,19.65,19.5,19.11,70705.41,1.61
2021-03-25,19.52,19.82,19.6,19.37,56366.12,0.51
2021-03-26,19.55,20.02,19.84,19.22,80998.66,1.22
2021-03-29,19.85,19.85,19.32,19.26,79798.13,-2.62
2021-03-30,19.3,19.5,18.83,18.64,118559.82,-2.54
2021-03-31,18.8,19.07,18.97,18.57,62087.77,0.74
2021-04-01,19.0,19.12,18.8,18.75,50856.86,-0.9
2021-04-02,18.83,18.94,18.78,18.67,48746.61,-0.11
2021-04-06,18.83,19.4,19.12,18.8,64367.8,1.81
2021-04-07,19.17,19.23,18.92,18.82,37631.44,-1.05
2021-04-08,18.83,19.36,19.13,18.7,93754.4,1.11
2021-04-09,19.06,19.23,18.78,18.73,42004.31,-1.83
