date,open,high,close,low,volume,p_change
2021-03-11,3.14,3.25,3.24,3.11,133101.94,3.19
2021-03-12,3.29,3.35,3.32,3.23,226985.06,2.47
2021-03-15,3.33,3.46,3.36,3.3,241046.48,1.21
2021-03-16,3.31,3.34,3.27,3.22,192727.08,-2.68
2021-03-17,3.26,3.27,3.22,3.18,107728.17,-1.53
2021-03-18,3.22,3.29,3.25,3.2,71840.26,0.93
2021-03-19,3.2,3.27,3.21,3.19,60572.23,-1.23
2021-03-22,3.23,3.53,3.36,3.23,156507.42,4.67
2021-03-23,3.34,3.34,3.24,3.2,99491.43,-3.57
2021-03-24,3.21,3.22,3.16,3.13,65123.65,-2.47
2021-03-25,3.17,3.19,3.17,3.15,29546.58,0.32
2021-03-26,3.16,3.2,3.17,3.14,77618.26,0.0
2021-03-29,3.17,3.24,3.2,3.15,93057.79,0.95
2021-03-30,3.2,3.2,3.17,3.13,66018.94,-0.94
2021-03-31,3.18,3.22,3.2,3.17,81058.26,0.95
2021-04-01,3.21,3.52,3.52,3.17,469501.19,10.0
2021-04-02,3.59,3.59,3.35,3.3,473693.53,-4.83
2021-04-06,3.4,3.49,3.4,3.35,272352.75,1.49
2021-04-07,3.39,3.74,3.74,3.36,562264.5,10.0
2021-04-08,3.82,4.11,4.11,3.73,1163594.5,9.89
2021-04-09,4.11,4.19,3.87,3.71,876623.62,-5.84
