date,open,high,close,low,volume,p_change
2021-03-11,4.17,4.34,4.31,4.0,639262.25,1.41
2021-03-12,4.28,4.33,4.22,4.15,434504.31,-2.09
2021-03-15,4.21,4.28,4.27,4.15,351950.97,1.19
2021-03-16,4.31,4.32,4.13,4.09,478809.75,-3.28
2021-03-17,4.11,4.14,4.13,4.06,237548.88,0.0
2021-03-18,4.1,4.13,4.09,4.03,275363.22,-0.97
2021-03-19,4.07,4.16,4.1,4.04,256615.08,0.24
2021-03-22,4.07,4.27,4.22,4.06,404550.41,2.93
2021-03-23,4.19,4.21,4.12,4.06,285270.75,-2.37
2021-03-24,4.08,4.17,4.08,4.06,181576.12,-0.97
2021-03-25,4.06,4.11,3.93,3.92,278626.94,-3.68
2021-03-26,3.99,4.11,4.06,3.94,262227.62,3.31
2021-03-29,4.05,4.1,4.08,4.02,180474.12,0.49
2021-03-30,4.06,4.49,4.28,4.05,877891.12,4.9
2021-03-31,4.23,4.39,4.33,4.2,670134.19,1.17
2021-04-01,4.33,4.34,4.29,4.26,404235.09,-0.92
2021-04-02,4.28,4.39,4.28,4.25,356217.0,-0.23
2021-04-06,4.3,4.37,4.28,4.25,294086.97,0.0
2021-04-07,4.28,4.43,4.35,4.24,426607.84,1.64
2021-04-08,4.34,4.65,4.39,4.32,567049.94,0.92
2021-04-09,4.39,4.52,4.4,4.36,413155.28,0.23
