date,open,high,close,low,volume,p_change
2021-03-11,7.91,8.4,8.39,7.81,31654.7,5.4
2021-03-12,8.33,8.57,8.3,8.28,32424.09,-1.07
2021-03-15,8.28,8.42,8.3,8.15,19781.65,0.0
2021-03-16,8.2,8.36,8.34,8.2,15128.65,0.48
2021-03-17,8.36,8.37,8.35,8.24,13944.0,0.12
2021-03-18,8.27,8.39,8.28,8.25,13760.2,-0.84
2021-03-19,8.2,8.35,8.25,8.15,14772.0,-0.36
2021-03-22,8.17,8.26,8.24,8.15,15075.8,-0.12
2021-03-23,8.3,9.13,8.62,8.29,92458.14,4.61
2021-03-24,8.4,8.49,8.33,8.29,48887.7,-3.36
2021-03-25,8.22,8.28,8.1,8.03,30151.05,-2.76
2021-03-26,8.11,8.21,8.16,8.04,18131.78,0.74
2021-03-29,8.16,8.22,8.13,8.09,13560.1,-0.37
2021-03-30,8.13,8.14,8.04,8.02,14354.5,-1.11
2021-03-31,8.25,8.25,8.12,8.04,7841.7,0.99
2021-04-01,8.11,8.19,8.11,8.06,9674.46,-0.12
2021-04-02,8.12,8.19,8.15,8.05,10389.8,0.49
2021-04-06,8.18,8.25,8.24,8.12,14039.7,1.1
2021-04-07,8.21,8.3,8.27,8.19,13347.35,0.36
2021-04-08,8.27,8.28,8.1,8.1,11919.3,-2.06
2021-04-09,8.1,8.15,8.08,8.06,8948.2,-0.25
