date,open,high,close,low,volume,p_change
2021-03-11,17.01,17.25,17.09,16.93,49889.68,0.41
2021-03-12,17.12,17.17,16.61,16.51,62605.11,-2.81
2021-03-15,16.61,16.85,16.68,16.55,37411.28,0.42
2021-03-16,16.68,17.86,17.58,16.65,90396.42,5.4
2021-03-17,17.68,17.69,17.51,17.3,59838.8,-0.4
2021-03-18,17.51,17.58,17.23,17.18,59053.2,-1.6
2021-03-19,17.17,17.46,17.3,17.02,50065.43,0.41
2021-03-22,17.25,17.45,17.32,17.21,39517.83,0.12
2021-03-23,17.28,17.67,17.45,17.17,66250.53,0.75
2021-03-24,17.37,17.54,17.43,17.27,39219.9,-0.12
2021-03-25,17.36,18.25,17.92,17.34,118276.96,2.81
2021-03-26,17.7,17.99,17.84,17.58,70871.93,-0.45
2021-03-29,18.01,18.18,17.91,17.82,65421.93,0.39
2021-03-30,17.91,17.93,17.74,17.72,50008.6,-0.95
2021-03-31,17.74,18.1,17.93,17.7,49817.21,1.07
2021-04-01,17.9,18.0,17.96,17.7,45509.43,0.17
2021-04-02,17.99,18.07,17.9,17.86,40330.01,-0.33
2021-04-06,17.9,17.92,17.82,17.69,34993.67,-0.45
2021-04-07,17.82,18.16,17.86,17.75,63394.99,0.22
2021-04-08,17.78,17.86,17.86,17.67,46855.77,0.0
2021-04-09,17.82,17.89,17.64,17.58,28751.57,-1.23
