date,open,high,close,low,volume,p_change
2021-03-11,146.0,155.0,150.01,144.94,27424.7,3.06
2021-03-12,150.13,152.94,152.09,147.01,19533.66,1.39
2021-03-15,150.83,152.0,144.9,142.2,22453.56,-4.73
2021-03-16,146.42,147.67,145.54,142.84,11984.73,0.44
2021-03-17,145.55,152.74,149.22,142.41,14005.28,2.53
2021-03-18,150.79,159.0,156.34,149.64,27333.47,4.77
2021-03-19,153.83,156.7,151.98,150.35,21371.59,-2.79
2021-03-22,150.42,155.88,149.74,146.08,27641.23,-1.47
2021-03-23,150.29,154.5,153.68,149.0,19942.44,2.63
2021-03-24,152.77,154.4,126.36,122.98,92007.07,-17.78
2021-03-25,126.0,131.76,129.8,118.23,64466.45,2.72
2021-03-26,140.0,155.76,155.76,140.0,47945.5,20.0
2021-03-29,156.99,166.49,158.11,152.31,48459.03,1.51
2021-03-30,157.99,163.5,157.9,156.55,32570.09,-0.13
2021-03-31,155.55,158.14,154.44,151.79,24529.56,-2.19
2021-04-01,154.44,157.41,155.42,154.05,13744.39,0.64
2021-04-02,157.9,160.49,158.9,154.24,15269.68,2.24
2021-04-06,159.01,162.35,159.93,152.25,20407.72,0.65
2021-04-07,161.0,162.33,161.2,157.5,17394.65,0.79
2021-04-08,160.0,167.59,166.3,158.8,20111.4,3.16
2021-04-09,166.0,176.48,172.0,165.21,32945.87,3.43
