date,open,high,close,low,volume,p_change
2021-03-11,1.8,1.86,1.84,1.77,180883.0,2.22
2021-03-12,1.83,1.86,1.84,1.8,161230.0,0.0
2021-03-15,1.84,1.9,1.89,1.83,201010.0,2.72
2021-03-16,1.89,1.98,1.96,1.87,301271.09,3.7
2021-03-17,1.99,2.06,1.95,1.93,297686.03,-0.51
2021-03-18,1.98,2.03,2.0,1.94,280459.88,2.56
2021-03-19,1.98,2.0,1.95,1.94,181365.0,-2.5
2021-03-22,1.95,1.99,1.96,1.92,173923.36,0.51
2021-03-23,1.97,1.97,1.94,1.93,112490.0,-1.02
2021-03-24,1.94,1.94,1.89,1.87,185755.0,-2.58
2021-03-25,1.89,1.94,1.91,1.89,147813.84,1.06
2021-03-26,1.91,2.05,2.0,1.89,419645.62,4.71
2021-03-29,2.01,2.2,2.09,2.01,778676.81,4.5
2021-03-30,2.05,2.15,2.13,1.96,609088.81,1.91
2021-03-31,2.09,2.1,2.08,2.0,406405.03,-2.35
2021-04-01,2.04,2.29,2.29,1.96,892110.75,10.1
2021-04-02,2.45,2.52,2.52,2.45,380801.53,10.04
2021-04-06,2.4,2.69,2.43,2.36,1589836.62,-3.57
2021-04-07,2.35,2.53,2.4,2.25,1200730.25,-1.24
2021-04-08,2.42,2.42,2.34,2.26,966863.06,-2.5
2021-04-09,2.28,2.57,2.57,2.27,904126.0,9.83
