date,open,high,close,low,volume,p_change
2021-03-11,5.16,5.22,5.22,5.11,152557.06,1.56
2021-03-12,5.21,5.26,5.24,5.15,160695.91,0.38
2021-03-15,5.21,5.3,5.26,5.21,166266.7,0.38
2021-03-16,5.26,5.28,5.24,5.19,125981.6,-0.38
2021-03-17,5.25,5.26,5.19,5.16,139681.3,-0.95
2021-03-18,5.2,5.28,5.27,5.18,171357.05,1.54
2021-03-19,5.22,5.26,5.16,5.14,153809.38,-2.09
2021-03-22,5.17,5.21,5.18,5.15,132476.45,0.39
2021-03-23,5.18,5.2,5.11,5.1,165431.62,-1.35
2021-03-24,5.11,5.12,5.1,5.07,121931.51,-0.2
2021-03-25,5.11,5.22,5.16,5.09,165116.11,1.18
2021-03-26,5.16,5.19,5.18,5.14,96326.2,0.39
2021-03-29,5.18,5.32,5.31,5.18,269016.59,2.51
2021-03-30,5.32,5.39,5.35,5.28,173966.28,0.75
2021-03-31,5.35,5.41,5.39,5.3,171167.98,0.75
2021-04-01,5.93,5.93,5.93,5.81,1206580.62,10.02
2021-04-02,6.0,6.26,5.7,5.68,1424876.75,-3.88
2021-04-06,5.7,5.75,5.53,5.46,749601.94,-2.98
2021-04-07,5.52,5.54,5.49,5.43,364069.84,-0.72
2021-04-08,5.48,5.48,5.37,5.36,424283.66,-2.19
2021-04-09,5.35,5.47,5.41,5.33,253950.31,0.74
